0_FlexFare	2784548	91838494.62	26.48	0.42	32.98	3.63	1.58	8.86
1_CreditCard	6739968	199656180.14	19.55	4.13	29.62	3.43	21.14	90.42
2_Cash	883162	22234860.42	19.50	0.00	25.18	3.39	0.00	0.01
3_NoCharge	23548	575507.96	18.73	0.00	24.44	3.08	0.00	0.02
4_Dispute	62690	1811678.01	22.76	0.00	28.90	4.01	0.02	0.03
