1_0-5min	923190	13583666.87	7.97	14.71	0.61	1.73	3.56	13.04	10.31
2_5-10min	2548157	44380537.58	10.32	17.42	1.17	1.88	7.57	8.83	9.26
3_10-20min	3983485	103799727.59	18.15	26.06	2.51	2.31	14.46	7.24	10.40
4_20-30min	1722722	69092392.17	30.13	40.11	5.00	3.33	24.21	6.03	12.39
5_30-60min	1095019	69009643.35	48.71	63.02	10.08	5.93	39.92	4.83	15.15
6_60+min	221343	16250753.59	60.46	73.42	15.23	5.45	91.59	3.97	9.98
