001	327
002	25
003	1364
004	44820
005	4
006	262
007	25691
008	98
009	477
010	5562
011	952
012	1951
013	61617
014	5475
015	490
016	940
017	12019
018	2872
019	1138
020	1407
021	1871
022	2430
023	98
024	32224
025	12672
026	3615
027	35
028	3343
029	1995
030	59
031	293
032	1995
033	13412
034	1980
035	8914
036	11379
037	19462
038	1253
039	10367
040	4218
041	52157
042	39440
043	119758
044	4
045	23558
046	191
047	2503
048	233509
049	11062
050	68586
051	4456
052	3904
053	1112
054	1136
055	4660
056	3304
057	172
058	226
059	100
060	2083
061	20607
062	6050
063	4478
064	460
065	12394
066	11552
067	1285
068	259903
069	5176
070	21053
071	7050
072	7937
073	445
074	44981
075	87089
076	16565
077	4354
078	3310
079	286813
080	16016
081	2223
082	7874
083	2884
084	10
085	4758
086	3387
087	67487
088	34815
089	12008
090	159325
091	7443
092	3773
093	1442
094	1416
095	7102
096	219
097	15775
098	733
099	5
100	132028
101	824
102	1940
105	2
106	3209
107	201039
108	1624
109	38
111	26
112	16986
113	146486
114	153152
115	114
116	23816
117	3272
118	71
119	2948
120	264
121	2309
122	1483
123	2582
124	1784
125	48962
126	2285
127	5393
128	525
129	12973
130	10742
131	2057
132	405577
133	2942
134	2703
135	1749
136	2057
137	132632
138	247881
139	1699
140	215395
141	239831
142	301997
143	124585
144	112461
145	22035
146	11313
147	1784
148	136742
149	1800
150	1011
151	86422
152	14373
153	697
154	166
155	3310
156	33
157	4602
158	96150
159	4752
160	1992
161	426203
162	315246
163	251241
164	203661
165	3432
166	65849
167	3649
168	8281
169	3085
170	268157
171	984
172	87
173	1928
174	2652
175	619
176	47
177	8347
178	948
179	9543
180	1504
181	13077
182	3932
183	903
184	97
185	1951
186	316687
187	23
188	12693
189	5413
190	845
191	3157
192	941
193	5955
194	432
195	3793
196	3076
197	6651
198	5916
199	6
200	1460
201	816
202	1792
203	1514
204	4
205	4165
206	45
207	368
208	1950
209	20501
210	3102
211	80850
212	2459
213	4775
214	184
215	4395
216	8797
217	2356
218	3174
219	2690
220	2617
221	188
222	3425
223	8454
224	26427
225	13692
226	19984
227	2387
228	5469
229	166628
230	297306
231	139690
232	32487
233	108198
234	273350
235	3810
236	427054
237	457903
238	200710
239	271725
240	436
241	2802
242	2494
243	11694
244	26969
245	25
246	184786
247	4638
248	2533
249	231110
250	2438
251	62
252	937
253	49
254	4181
255	25480
256	18963
257	1828
258	3365
259	2387
260	7543
261	42087
262	152280
263	204337
264	11711
265	2020
