AAA_TOTAL_RECORDS	11077206	100.0000
AAB_ANOMALOUS_RECORDS	3434517	31.0053
EXTREME_DISTANCE	339	0.0031
EXTREME_DURATION	2381	0.0215
EXTREME_FARE	9	0.0001
EXTREME_FARE_PER_MI	96641	0.8724
EXTREME_PASSENGER	3	0.0000
IMPOSSIBLE_SPEED	2282	0.0206
NEGATIVE_FARE	86908	0.7846
NEGATIVE_TOTAL	88580	0.7997
OUT_OF_WINDOW_DATE	9	0.0001
TIP_EXCEEDS_FARE	1232	0.0111
ZERO_DISTANCE	370198	3.3420
ZERO_DURATION	134801	1.2169
ZERO_PASSENGER	3097761	27.9652
