080	16016	501168.80	10970.42	592438.68	31.29	0.68	5.00	7.40
081	2223	82513.40	121.59	90273.79	37.12	0.05	9.90	4.10
082	7874	220148.42	4393.05	255122.43	27.96	0.56	5.14	6.30
083	2884	89571.23	3831.47	105762.29	31.06	1.33	4.90	7.49
084	10	535.03	0.00	610.98	53.50	0.00	11.62	5.26
085	4758	151165.46	887.72	167751.28	31.77	0.19	6.09	5.79
086	3387	163348.28	179.86	172448.21	48.23	0.05	13.95	3.65
087	67487	1725320.18	150072.72	2289820.91	25.57	2.22	4.31	7.87
088	34815	951348.43	86535.39	1256091.31	27.33	2.49	4.74	7.62
089	12008	389241.58	2705.63	438696.70	32.42	0.23	6.56	5.57
090	159325	2666549.95	375862.22	3979670.61	16.74	2.36	2.23	11.22
091	7443	229432.86	631.65	248462.59	30.83	0.08	6.45	5.17
092	3773	119481.91	943.23	138267.52	31.67	0.25	7.40	4.95
093	1442	88414.11	10506.79	107953.40	61.31	7.29	8.18	9.16
094	1416	47799.22	32.74	52325.62	33.76	0.02	8.15	4.53
095	7102	221527.75	3242.36	258200.32	31.19	0.46	6.42	5.66
096	219	7827.42	116.63	8726.50	35.74	0.53	6.39	6.24
097	15775	492664.15	12546.75	567696.33	31.23	0.80	5.28	6.82
098	733	25479.92	310.92	28734.31	34.76	0.42	8.17	4.80
099	5	210.28	0.00	232.20	42.06	0.00	5.33	8.71
100	132028	2401147.05	356342.20	3560966.69	18.19	2.70	2.48	10.87
101	824	32551.80	126.78	37130.72	39.50	0.15	10.94	4.12
102	1940	57409.40	495.85	64964.09	29.59	0.26	5.18	6.46
105	2	83.70	20.14	120.84	41.85	10.07	10.47	5.77
106	3209	101854.97	1630.33	120182.63	31.74	0.51	5.63	6.65
107	201039	3388278.11	466043.37	5033095.65	16.85	2.32	2.32	10.78
108	1624	59031.73	132.34	62387.31	36.35	0.08	8.74	4.40
109	38	1862.47	24.30	2310.25	49.01	0.64	9.46	6.42
111	26	865.80	9.50	989.43	33.30	0.37	5.25	7.25
112	16986	498567.81	10403.46	610970.04	29.35	0.61	4.58	7.86
113	146486	2515551.54	356300.12	3727015.11	17.17	2.43	2.17	11.74
114	153152	2792990.01	352899.86	4046709.55	18.24	2.30	2.37	11.17
115	114	5402.89	43.87	6684.39	47.39	0.38	9.63	6.09
116	23816	647051.70	14668.87	767255.43	27.17	0.62	5.22	6.18
117	3272	150811.88	110.58	159193.52	46.09	0.03	12.70	3.83
118	71	3221.31	65.96	4053.35	45.37	0.93	9.62	5.93
119	2948	95076.97	450.49	104963.49	32.25	0.15	6.91	5.15
120	264	8790.87	121.23	9907.14	33.30	0.46	6.20	6.05
121	2309	78531.75	494.73	89470.22	34.01	0.21	8.15	4.76
122	1483	54335.59	92.67	60900.40	36.64	0.06	9.01	4.56
123	2582	75978.17	192.45	81534.61	29.43	0.07	6.27	5.04
124	1784	66218.26	1551.18	74697.08	37.12	0.87	7.78	5.38
125	48962	968222.84	124916.61	1385879.95	19.77	2.55	2.74	10.32
126	2285	70192.58	251.22	78886.22	30.72	0.11	6.67	5.17
127	5393	169718.13	1758.63	192477.92	31.47	0.33	7.00	5.10
128	525	19354.12	260.07	22301.58	36.86	0.50	8.79	4.83
129	12973	412262.86	21950.17	496722.94	31.78	1.69	4.98	7.68
130	10742	348504.95	7411.36	397597.02	32.44	0.69	7.18	5.15
131	2057	73369.62	316.84	83527.16	35.67	0.15	8.35	4.86
132	405577	25062436.24	3733774.83	32399670.15	61.79	9.21	15.13	5.28
133	2942	98655.27	906.71	115193.63	33.53	0.31	6.62	5.91
134	2703	109773.44	6159.41	126270.47	40.61	2.28	6.33	7.37
135	1749	56845.93	413.73	65191.60	32.50	0.24	7.40	5.04
136	2057	70386.61	194.40	76714.66	34.22	0.09	8.22	4.54
137	132632	2340680.69	245027.95	3359424.03	17.65	1.85	2.75	9.22
