00	324284
01	218149
02	144342
03	108937
04	89214
05	98507
06	189214
07	334965
08	439692
09	451653
10	453985
11	483440
12	522582
13	543047
14	580371
15	613608
16	593017
17	661038
18	696255
19	638914
20	638427
21	646767
22	580048
23	443460
